"RelativePath","Extension","SizeMB","LastWriteTime"
"CAD\X Gantry Assy\pan cross head_am_B18.6.7M - M3 x 0.5 x 4 Type I Cross Recessed PHMS --4N.SLDPRT",".SLDPRT","0.098","1/31/2024 8:01:28 PM"
"CAD\X Gantry Assy\pan cross head_am_B18.6.7M - M3 x 0.5 x 6 Type I Cross Recessed PHMS --6N.SLDPRT",".SLDPRT","0.099","1/31/2024 8:01:23 PM"
"CAD\X Gantry Assy\Pully_Belt Drive_X and Y Axis.SLDPRT",".SLDPRT","0.172","2/1/2024 11:24:26 AM"
"CAD\X Gantry Assy\Radial-Cooling-Fan-5015-DC12V.SLDASM",".SLDASM","0.272","10/19/2025 8:10:56 PM"
"CAD\X Gantry Assy\Render.JPG",".JPG","0.67","6/15/2022 1:30:14 PM"
"CAD\X Gantry Assy\RepRap Endstop Assy..SLDPRT",".SLDPRT","0.217","1/31/2024 6:05:58 PM"
"CAD\X Gantry Assy\right side z bracket.SLDPRT",".SLDPRT","0.773","10/5/2023 2:12:17 PM"
"CAD\X Gantry Assy\Roller_Polymer_Axis.SLDPRT",".SLDPRT","0.093","2/1/2024 11:28:58 AM"
"CAD\X Gantry Assy\Rotor.SLDPRT",".SLDPRT","0.093","1/31/2024 5:42:07 PM"
"CAD\X Gantry Assy\Shaft 20.SLDPRT",".SLDPRT","0.493","6/15/2022 1:30:14 PM"
"CAD\X Gantry Assy\shroud_chonky_LED_long_fan_cover.SLDPRT",".SLDPRT","0.624","1/29/2024 4:28:00 PM"
"CAD\X Gantry Assy\Silent block.SLDPRT",".SLDPRT","0.065","1/31/2024 5:42:07 PM"
"CAD\X Gantry Assy\Spacer_Roller_Excentric.SLDPRT",".SLDPRT","0.087","1/31/2024 6:13:07 PM"
"CAD\X Gantry Assy\spring.SLDPRT",".SLDPRT","0.874","1/31/2024 5:42:21 PM"
"CAD\X Gantry Assy\Stator.SLDPRT",".SLDPRT","2.465","1/31/2024 5:42:11 PM"
"CAD\X Gantry Assy\Sub_Assy_Drive_X Axis.SLDASM",".SLDASM","1.13","7/15/2026 3:26:27 PM"
"CAD\X Gantry Assy\TBD.SLDPRT",".SLDPRT","0.08","1/30/2024 6:43:40 PM"
"CAD\X Gantry Assy\Thumbscrew.SLDPRT",".SLDPRT","7.342","1/30/2024 6:43:38 PM"
"CAD\X Gantry Assy\top collar.SLDPRT",".SLDPRT","0.073","1/30/2024 6:43:41 PM"
"CAD\X Gantry Assy\top ptfe interface.SLDPRT",".SLDPRT","0.082","1/30/2024 6:43:35 PM"
"CAD\X Gantry Assy\top.SLDPRT",".SLDPRT","0.156","1/29/2024 4:14:51 PM"
"CAD\X Gantry Assy\Tubo conector.SLDPRT",".SLDPRT","0.063","1/31/2024 4:24:46 PM"
"CAD\X Gantry Assy\turbine.SLDPRT",".SLDPRT","0.35","1/29/2024 4:14:51 PM"
"CAD\X Gantry Assy\Washer.SLDPRT",".SLDPRT","0.068","1/30/2024 6:43:40 PM"
"CAD\X Gantry Assy\X Gantry Assy.SLDASM",".SLDASM","8.521","7/15/2026 3:26:27 PM"
"CAD\X Gantry Assy\X-Axis Gantry Bracket.SLDPRT",".SLDPRT","0.169","10/20/2025 4:03:43 PM"
"CAD\Y Gantry Assy\Bed Spring.SLDPRT",".SLDPRT","2.688","4/1/2024 3:27:55 PM"
"CAD\Y Gantry Assy\Boss-Extrude2.SLDPRT",".SLDPRT","0.164","6/5/2024 4:51:01 PM"
"CAD\Y Gantry Assy\Silicone Bed Spacer.SLDPRT",".SLDPRT","0.108","4/1/2024 3:36:19 PM"
"CAD\Y Gantry Assy\stock - y tensioner knob.SLDPRT",".SLDPRT","0.177","6/17/2024 1:18:38 PM"
"CAD\Y Gantry Assy\Sub_Assy_Drive_Y_Axis.SLDASM",".SLDASM","0.535","5/8/2026 3:06:33 PM"
"CAD\Y Gantry Assy\Tensioner Mount_.SLDPRT",".SLDPRT","0.678","10/19/2025 7:59:27 PM"
"CAD\Y Gantry Assy\Tensioner Tensioner - Left.SLDPRT",".SLDPRT","0.262","6/5/2024 4:51:00 PM"
"CAD\Y Gantry Assy\Tensioner Tensioner - Left.x_t",".x_t","0.069","6/5/2024 4:53:26 PM"
"CAD\Y Gantry Assy\Tensioner Tensioner - Right.SLDPRT",".SLDPRT","0.7","6/17/2024 1:20:45 PM"
"CAD\Y Gantry Assy\Tensioner.SLDASM",".SLDASM","0.266","4/1/2024 6:00:56 PM"
"CAD\Y Gantry Assy\Tensioner.SLDPRT",".SLDPRT","0.346","6/5/2024 5:12:49 PM"
